Index;Artist;Title;Mood;Lyrics 
ML226;Taio Cruz;Dirty Picture ;sad;"I could dream of ways to see you
I could close my eyes to dream
I could fantasise about you
Tell the world what I believe
But whenever I'm not with you
It's so hard for me to see
I need to see a picture of you
A special picture just for me, yeah
So take a dirty picture for me, take a dirty picture
Just take a dirty picture for me, take a dirty picture
Just send a dirty picture to me, send a dirty picture
Just send a dirty picture to me, send a dirty picture, picture, picture, picture, picture, picture
Snap
(Snap)
Uh
Whenever you are gone, I just wanna be with ya
Please don't get me wrong, I just wanna see a picture
Take a dirty picture for me, take a dirty picture
Take a dirty picture for me, take a dirty picture
Whenever you are gone, I just wanna be with ya
Please don't get me wrong, I just wanna see your picture
Take a dirty picture for me (Oh), take a dirty picture (Ah)
Take a dirty picture for me (Oh), take a dirty picture (Ah)
I could dream of ways to see you
I could close my eyes to dream
Fantasise about this with you
But the way is never seen, oh
Take a dirty picture for me, take a dirty picture
Take a dirty picture for me, take a dirty picture
Just send a dirty picture to me, send a dirty picture (Oh, oh)
Send a dirty picture to me send a dirty picture
Ah
Snap
Snap
Snap
Uh, whenever you are gone, I just wanna be with ya
Please don't get me wrong, I just wanna see your picture
Take a dirty picture for me, take a dirty picture
Take a dirty picture for me, take a dirty picture (Oh)
When you're all alone, boy, I got somethin' to give ya (Give ya)
Will you play along if I take a dirty picture? (Picture)
I'll take a dirty picture for you (Oh), take a dirty picture (Picture)
Take a dirty picture for you (Oh), take a dirty picture (Picture)
Take a dirty picture for me, take a dirty picture
Take a dirty picture for me, take a dirty picture
Send a dirty picture to me, send a dirty picture
Send a dirty picture to me, send a dirty picture, picture, picture, picture
Snap, uh
Snap
Snap
Click-click, snap"
ML227;Baby Bash;That's How I Go ;relaxed;"[Verse 1]
I let the roof drop
Drippin candy, with super baby in my new car
And I'm glad that she love to have me, I'm like ooh lord
From Jamaica to Puerto Rico down to Utah
From Miami to California they some cool brahs
Haters tell me they can't be mad at my new job
We be goin' hard in the paint like a hoop star
It's finger lickin' good like a full course
Give it to ya, good enough to tell you, baby you snore
If you like it, you know I love it, baby, two more
And the smell of that new Chanel girl, it never fail
We can fly away or just drive baby, heads or tails?
And oh yeah, and oh yeah
[Verse 2]
I said I met a lot of ladies and I travel the world
Sometimes I party like crazy, showin' love to the girls
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
And now my pockets look gravy, with plenty to give
Somebody 'bout to have my baby, and the key to my crib
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
[Verse 3]
I said man girl you think it's 5 o'clock traffic on that 101
Maybe later on tonight me and you can have ourselves a one on one
I swear I've seen you somewhere else
Maybe it was on a movie screen
Maybe it was on a television
Or on the cover of a magazine
I know and I don't care
Let me see your underwear
Let me see how thick you is baby
Let me see what's under there
Everybody know we go go go go, oh, so fast when I'm on my grind
But I can't lie when I see that ass
I slow it down and take my time
[Verse 4]
Said I met a lot of ladies and I travel the world
Sometimes I party like crazy, showin' love to the girls
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
And now my pockets look gravy, with plenty to give
Somebody 'bout to have my baby and the key to my crib
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
[Verse 5]
Girl I gotta red eye flight, soundcheck, another photo shoot
Girl I gotta go, I gotta do another interview
Studio tonight, another banger you could listen to
Baby, you ain't even gotta ask
You know I'm missin' you
The money keep comin girl, 'cause we keep goin'
Yeah, we go and go and go and go and go and keep goin'
Yeah, the money keep comin' girl, 'cause we keep goin'
Yeah, we go and go and go and go and go and keep goin'
[Verse 6]
Said I met a lot of ladies and I travel the world
Sometimes I party like crazy, showin' love to the girls
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
And now my pockets look gravy, with plenty to give
Somebody 'bout to have my baby and the key to my crib
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
That's how we go"
ML228;Baby Bash;Cyclone ;angry;"[Verse 1]
I let the roof drop
Drippin candy, with super baby in my new car
And I'm glad that she love to have me, I'm like ooh lord
From Jamaica to Puerto Rico down to Utah
From Miami to California they some cool brahs
Haters tell me they can't be mad at my new job
We be goin' hard in the paint like a hoop star
It's finger lickin' good like a full course
Give it to ya, good enough to tell you, baby you snore
If you like it, you know I love it, baby, two more
And the smell of that new Chanel girl, it never fail
We can fly away or just drive baby, heads or tails?
And oh yeah, and oh yeah
[Verse 2]
I said I met a lot of ladies and I travel the world
Sometimes I party like crazy, showin' love to the girls
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
And now my pockets look gravy, with plenty to give
Somebody 'bout to have my baby, and the key to my crib
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
[Verse 3]
I said man girl you think it's 5 o'clock traffic on that 101
Maybe later on tonight me and you can have ourselves a one on one
I swear I've seen you somewhere else
Maybe it was on a movie screen
Maybe it was on a television
Or on the cover of a magazine
I know and I don't care
Let me see your underwear
Let me see how thick you is baby
Let me see what's under there
Everybody know we go go go go, oh, so fast when I'm on my grind
But I can't lie when I see that ass
I slow it down and take my time
[Verse 4]
Said I met a lot of ladies and I travel the world
Sometimes I party like crazy, showin' love to the girls
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
And now my pockets look gravy, with plenty to give
Somebody 'bout to have my baby and the key to my crib
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
[Verse 5]
Girl I gotta red eye flight, soundcheck, another photo shoot
Girl I gotta go, I gotta do another interview
Studio tonight, another banger you could listen to
Baby, you ain't even gotta ask
You know I'm missin' you
The money keep comin girl, 'cause we keep goin'
Yeah, we go and go and go and go and go and keep goin'
Yeah, the money keep comin' girl, 'cause we keep goin'
Yeah, we go and go and go and go and go and keep goin'
[Verse 6]
Said I met a lot of ladies and I travel the world
Sometimes I party like crazy, showin' love to the girls
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
And now my pockets look gravy, with plenty to give
Somebody 'bout to have my baby and the key to my crib
That's how I go, that's how I go girl, that's how I go girl
I go and go, that's how I go girl, that's how I go girl
That's how we go"
ML229;Baby Bash;Fantasy Girl ;relaxed;"A fairy tale, a piece of fiction
Tell me she's make-believe
Got a body you can never dream of
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
TV, movies and magazines
Novelas, game shows, and fancy dreams
Living way lavish on fancy things
In High Definition HD, so clean
Playboy bunny like the girl next door
She's Snow White, I'm Hugh Hefner
Freshtastic Christian Dior
With a body of a temple I must explore
Girl I must incline
Twerking down low with that ass behind
Tell me, is I dreaming or you just that fine?
If you got imagination then imagine mine
A fairy tale a piece of fiction
Tell me she's make believe
Got a body you can never dream of
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
Quiet like my night, brand new moon
Look at the allusion across the room
Day time night girl afternoon
Doing the most so don't chat perfume
Now how am I gonna handle this?
IPhone, Macbook, blu-ray disc
And she look like she came a video
You know the one they say shawty get it low
Sipping sangria, mama mia
Welcome everybody to my fantasia
Way more styles than a fashionista
My freak in the sheets, my diamond diva
A fairy tale a piece of fiction
Tell me she's make believe
Got a body you can never dream of
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
You can't spell fantasy, without n-a-s-t-y
But you better be a real time
You can't spell fantasy, without n-a-s-t-y
It don't matter when the clock strikes
That's how the story go-go-go-goes
So, work your magic oh
I got to have it oh
So let me see your sho-sho-sho-show
And drop it right here
Make this money disappear (yea)
A fairy tale, a piece of fiction
Tell me she's make believe
Got a body you can never dream of
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
She a fantasy fantasy
She a fantasy fantasy girl
(Off top, that girl's a beast)
She's like a real life
She a fantasy fantasy
She a fantasy fantasy
She a fantasy fantasy girl"
ML230;Ivory Joe Hunter;Since I Met You Baby;happy;"Since I met you baby
My whole life has changed
Since I met you baby
My whole life has changed
And everybody tells me
That I am not the same
I don't need nobody to tell my troubles to
I don't need nobody to tell my troubles to
'Cause since I met you baby all I need is you
Since I met you baby
I'm a happy man
Since I met you baby
I'm a happy man
I'm gonna try to please you in every way I can"
ML231;Whitney Houston;I Will Always Love You;happy;"[Verse 1]
If I
Should stay
I would only be in your way
So I'll go
But I know
I'll think of you every step of
The way
[Chorus]
And I
Will always love you, I
Will always love you
You
My darling, you
[Verse 2]
Bittersweet memories
That is all I'm taking with me
So goodbye, please, don't cry
We both know I'm not what you, you need
[Chorus]
And I
Will always love you, I
Will always love you
[Bridge]
I hope life treats you kind
And I hope you have all you've dreamed of
And I wish to you joy and happiness
But above all this, I wish you love
[Chorus]
And I
Will always love you
I will always love you
I will always love you
I will always love you
I will always love you, I
I will always love you, you
[Outro]
Darling, I love you
Ooh, I'll always
I'll always love you"
ML232;Shop Boyz;Party Like A Rock Star;happy;"[Verse 1]
Yeah, y-y-yeah, y-y-yeah, y-y-yeah
(T-t-totally, dude)
[Verse 2]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 3]
I'm on a money-making mission but I party like a rockstar
I'm flying down twenty, looking good in my hot car
You know them **** be at my show
Grabbing where my chain go
I'm tryna grab and hold my pants but these **** won't let my thing go
I do, like I do, 'cause you know them **** be trying it
Oh, don't you know I **** with fine dimes that look like Pamela?
They fine and they hot, bruh, when I'm in the spot, bruh
I party like a rockstar
[Verse 4]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 5]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 6]
Party like a rockstar
Do it with the black and the white, like a cop car
Me and my band hang on a yacht with Marilyn Manson getting a tan, man
You know me, with a skull belt and wallet chains
Shop Boyz rockstars, yo, we 'bout to change the game
They know that I'm a star, I make it rain from the center of my guitar
[Verse 7]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 8]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 9]
As soon I came out the womb, my mama knew a star was born
Now I'm on the golf course, tripping with the Osbournes
I seen the show with Travis Barker, rockstar mentality
I'm jumping in the crowd just to see if they will carry me
**** wanna marry me, they see me, they just might panic
My ice make 'em go down quick, like the Titanic
Yeah, I'm with the Shop Boyz, you know what we do
I'm surfing, screaming cowabunga, totally, dude
[Verse 10]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 11]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 12]
(T-t-totally, dude)
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)
[Verse 13]
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rock, party like a rockstar
Party like a rockstar (T-t-totally, dude)"
ML233;Lady Gaga;LoveGame;happy;"[Intro]
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
[Verse 1]
I wanna kiss you
But if I do, then I might miss you, babe
It's complicated and stupid
Got my ass squeezed by sexy Cupid
Guess he wants to play, wants to play
A LOVEGAME, A LOVEGAME
[PreChorus]
Hold me and love me
Just wanna touch you for a minute
Maybe three seconds is enough for my heart to quit it
[Chorus]
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Don't think too much, just bust that kick
I wanna take a ride on your disco stick
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game?
Dans the LOVEGAME
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game?
Dans the LOVEGAME
[Verse 2]
I'm on a mission
And it involves some heavy touching, yeah
You've indicated your interest
I'm educated in sex, yes
And now I want it bad, want it bad
A LOVEGAME, A LOVEGAME
[PreChorus]
Hold me and love me
Just wanna touch you for a minute
Maybe three seconds is enough for my heart to quit it
[Chorus]
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Don't think too much, just bust that kick
I wanna take a ride on your disco stick
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game?
Dans the LOVEGAME
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game?
Dans the LOVEGAME
[Bridge]
I can see you staring there from across the block
With a smile on your mouth, and your hand on your huh!
The story of us, it always starts the same
With a boy and a girl and a huh and a game
And a game, and a game, and a game
A LOVEGAME
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game?
Dans the LOVEGAME
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game?
Dans the LOVEGAME
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game? (Let's have some fun, this beat is sick)
Dans the LOVEGAME (I wanna take a ride on your disco stick)
[Chorus]
Let's play a LOVEGAME, play a LOVEGAME
Do you want love, or you want fame?
Are you in the game? (Don't think too much, just bust that kick)
Dans the LOVEGAME (I wanna take a ride on your disco stick)
Dans the LOVEGAME"
ML234;Mary J. Blige;Real Love;happy;"[Verse 1]
We are lovers through and through
And though we made it through the storm
I really want you to realize
I really want to put you on
I've been searching for someone
To satisfy my every need
Won't you be my inspiration
Be the real love that I need?
[Chorus]
Real love
I'm searching for a real love
Someone to set my heart free, real love
I'm searching for a real love
[Verse 2]
Ooh, when I met you
I just knew that you would take my heart and run
Until you told me how you felt for me
You said I'm not the one
So I slowly came to see
All of the things that you were made of
And now I hope my dreams and inspirations
Lead me towards a real love
[Chorus]
Real love
I'm searching for a real love
Someone to set my heart free, real love
I'm searching for a real love
I got to have a real love
[Bridge]
Love so true and, oh, baby
I thought that love was you
I thought you were the answer to the question in my mind
But it seems that I was wrong
If I stayed strong, maybe I'll find my real love
[Verse 3]
So I try my best and pray to God
He send me someone real
To caress me and to guide me
Towards a love my heart can feel
Now I know I can be faithful
I can be your all in all
I'll give you good loving through the summertime
Winter, spring and fall
[Chorus]
Real love
I'm searching for a real love (For a real love, real love, real love)
Someone to set my heart free, real love
I'm searching for a real love
[Chorus]
Real love
I'm searching for a real love
Someone to set my heart free, real love
I'm searching for a real love
[Bridge]
You see, I'm searching for a real love (Real love)
And I don't know where to go (I'm searching for a real love)
Been around the world, been high and low (Someone to set my heart free)
And still I'll never know
How it feels to have a real love (Real love)
'Cause it seems that's not around (I'm searching for a real love)
Gotta end it in this way because
It seems he can't be found
[Chorus]
Real love
I'm searching for a real love
Someone to set my heart free, real love
I'm searching for a real love
[Chorus]
Real love
I'm searching for a real love
Someone to set my heart free, real love
I'm searching for a real love
[Outro]
Real love"
ML235;Chamillionaire;Ridin ;sad;"[Chorus]
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hoping that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
[Verse 1]
Grindin' to see if they think they can see me lean
I'm tint, so it ain't easy to be seen
Police see me ride by, they can see me glean
And my shine on the deck and the TV screen
Ridin' with a new chick, she like, ""Hold up""
Next to the Playstation controller
Is a full clip in my pistola
Turn a jacker into a coma
Girl, you ain't know I'm crazy like Krayzie Bone
Just tryna bone, ain't tryna have no babies
Ride clean as hell, so I pull in ladies
Laws on patrol and you know they hate me
Music turned all the way up into the maximum
I got speakers, some **** tryna jack for some
But we packin' somethin' that we have for 'em
Will have a **** locked up in a maximum security cell
I'm grippin' oak
Music loud and I'm tippin' slow
Twin's steady twistin', like, ""Hit this dough!""
Police pull up right behind and it's in his throat
Windows down, gotta stop pollution
CD change, **** like, ""Who is that producin'?""
That's the Play-N-Skillz when we out and cruisin'
Got warrants in every city except Houston
But I still ain't losin'
[Chorus]
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hoping that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
[Verse 2]
I been drinkin' and smokin'
Holdin' shit 'cause a brother can't focus
I gotta get it home 'fore the po-po's scope this
Big old Excursion swervin', all up in the curve, man
**** been sippin' on that Hennessy and the gin again
Sin again, we in the wind
Doin' a hundred while I puff on the blunt
And rollin' another one up, we livin' like we ain't givin' a fuck
I got a revolver in my right hand
40 ounce in my left, freezin' my balls
Roll another tree, green leaves and all
Comin' pretty deep, me and my dawgs
Y'all, I gotta hit the backstreets
Wondering about the six pounds and I got heat
Glock, glock, shots to the block, we creep, creep
Pop, pop, hope cops don't see me, on a low key
[Bridge]
With no regard for the law, we dodge 'em, like, ""Fuck 'em all""
But I won't get caught up and brought up on charges for none of y'all
Keep a gun in car and a blunt to spark
Roll up if you want and get it poppin' dog
Ready or not, we bust shots off in the air
Krayzie Bone and Chamillionaire
[Chorus]
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hoping that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
[Verse 3]
Now would you think it so? I tried to let you go
Turn on my blinker light, and then I swang it slow
And they upset for sure, 'cause they think they know
That they catchin' me with plenty of the drink and dro
So they get behind me, tryna check my tags
Look in my rear view, and they smilin'
Thinkin' they'll catch me in the wrong and keep tryin'
Steady denyin' that it's racial profilin'
Houston, Texas, you can check my tags
Pull me over, try to check my slab
Glove compartment, gotta get my cash
'Cause the crooked cops try to come up fast
And being the baller that I am, I talk to them
Givin' a damn about 'em not feelin' my attitude
When they realize I ain't even ridin' dirty
Bet you'll be leavin' with an even madder mood
I'ma laugh at you, and then I have to cruise
Jamming number two on some old DJ Screw
You can't arrest me, plus, you can't sue
This a message to the laws, tell 'em, ""We hate you""
I can't be touched and tell 'em that they should've known
Tippin' down, I'm sittin' crooked on my chrome
Bookin' my phone, findin' a chick I wanna bone
Like they couldn't stop me, I'm about to pull up at your home
And it's on
[Chorus]
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hoping that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hoping that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty
Tryna catch me ridin' dirty"
ML236;Keith Sweat;Nobody ;happy;"[Verse 1]
I want to tease you
I want to please you
I want to show you, baby
That I need you
I want your body
Till the very last drop
I want you to holler
When you want me to stop
[Chorus]
And who can love you like me? (Nobody)
Who can sex you like me? (Nobody)
Who can treat you like me now, baby? (Nobody)
Nobody, baby (Nobody)
And who can do it like me? (Nobody)
And who can give you what you need? (Nobody)
Who can do you all night long (Nobody)
Nobody, baby (Nobody)
[Verse 2]
I want the night
For me and you
So come here, baby
And let me do it to you
Don't be afraid
'Cause I won't bite
I promise to give it to you
Just the way you like
[Chorus]
And who can love you like me? (Nobody)
Who can sex you like me? (Nobody)
Who can lay your body down? (Nobody)
Nobody, baby (Nobody)
And who can treat you like me? (Nobody)
Who can give you what you need? (Nobody)
And who can do you all night long? (Nobody)
Nobody, baby (Nobody)
And the band keeps playing on
[Refrain]
On, on, on, and on, on
On, on, on, and on, on
On, on, on, and on, on
Nobody, baby
Come on
On, on, on, and on, on
On, on, on, and on, on
On, on, on, and on, on
Nobody, baby
[Bridge]
I want you right now for my lover (Baby, I)
Oh, yes, I do (Place no one above you)
Oh, yes, I do
If you need love (If you need my love)
I'll be right there
I'll be right there, baby (I'll come running, oh, baby)
Oh, yes, I will
Oh, yes, I will (Yes, I will)
Oh, yes, I will, baby
[Chorus]
And who can love you like me, baby? (Nobody)
Who can sex your body like me, baby? (Nobody)
Who can do it like me, baby? (Nobody)
No, no, no, no, no, no (Nobody but me)
Who can lay you down just like me? (Nobody)
Who can kiss you all over your body, baby? (Nobody)
Who can laugh, who can cry and drive you crazy, baby? (Nobody)
Oh, yeah, baby (Nobody)
I want to know who can love you like me, baby? (Nobody)
Who can treat your body as good as me, baby? (Nobody)
Who can do it to it just like me, baby? (Nobody)"
ML237;Juvenile;Slow Motion ;sad;"[Verse 1]
Slow motion for me, slow motion for me
Move in slow motion for me
Slow motion for me, slow motion for me
Move in slow motion for me
I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
[Verse 2]
I'm a dick thrower
Her neck and her back hurting
Cut throater, I'll have you like a brand new virgin
It's like once you get used of it then you start serving
Hop up on top and start jicky-jicky jerking
Slow down for me, you moving too fast
My fingers keep slipping, I'm trying to grip that ass
Keep being hard-headed and I'ma make you get off me
Got a human enough disguise but my face is a doggy
If you loving my bark let me bury my bone
I got four or five bad married bitches at home
One of my bitches fell in love with that outside dick
That outside dick keep them hoes sick like
[Verse 3]
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
[Verse 4]
It's like I got the world in my palms
Your girl up under my arms
She fucked up from the charm
She love the way the dick stay hard from 12 till early in the morn'
Fine bitches if you listening you heard me I'm strong
If you going through your cycle I ain't with it I'm gone
You must have heard about them hoes that I beat up in my home
They wasn't telling the truth baby you know they was wrong
Nah make it official where's some of that dome
I don't mind buying blue, your ride too
Don't be asking **** questions about where I'm driving you
Lil mama my shit together I ain't jiving you
I don't think that **** could do you better than I could do, ya know
And Juvenile from 'cross the street by the derby
Same **** that used to be running with Rusty and Kirby
Can a playa from the know ya get a chance with it
But I can't bounce with you without using my hands with it
[Verse 5]
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
[Verse 6]
Slow motion she open
I'm hoping that she don't leave my dick broken
With brush burns and swollen
I'm toting she wanted me to make her out a believer
I guarantee ya I'ma see ya when I see ya
And just don't holla out my name like we was all that
Your pussy throw back and you know that
So stop stunting slow motion for a real ****
I'm going off that incredible potion and I'ma deal with ya
[Verse 7]
I like how that Victoria Secret sit in that ass
Let me pour some more hip and Hennessy in your glass
Would I be violating if I grab me a handful
I know what's happening all I want is a sample
Who you with I'm in the rental today
It's going down and happening and I remember the way
Less money we spend on bullshit, the more for the weed
What's it gonna take for you to come slow motion with me like
[Verse 8]
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Uh, I like it like that she working that back
I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me"
ML238;Mary Wells;What Love Has Joined Together;happy;"[Verse 1]
It would be easier to take the wet from water
Or the dry from sand
Than for anyone to try to separate us
And stop us from holding hands
[Verse 2]
'Cause I love you (I love you)
I love you from the bottom of my heart
[Verse 3]
And what love has joined together
What love has joined together
Can't nobody take it apart
[Verse 4]
It would be easier to take the cold from snow
Or the heat from fire
Than for anyone to take my love from you
'Cause you're my heart's desire
[Verse 5]
And I love you (I love you)
I love you from the bottom of my heart
[Verse 6]
And what love has joined together
What love has joined together
Can't nobody take it apart
[Verse 7]
Even if they separate us
A thousand miles apart
We will still be together
In each other's hearts
[Verse 8]
It would be easier to change all the seasons
Of the year
Than for anyone to change the way I feel about you
I love you, dear
[Verse 9]
Really love you (I love you)
I love you from the bottom of my heart
[Verse 10]
And what love has joined together
What love has joined together
Can't nobody take it apart
[Verse 11]
What love has joined together
What love has joined together"
ML239;Fidel Rueda;Me Encantaria;sad;"[Verse 1]
Me encantaría poder causar locas reacciones en tu cuerpo
Tal vez un poco inclinado a lo perverso
Me encantaría enamorar tu corazón
[Verse 2]
Me encantaría ser el motivo de que se te escape el sueño
Que sea mi nombre el que llene tu cuaderno
De cada olvido quiero ser yo la razón
[Chorus]
Me encantaría ser tu alegría, ser tu mayor motivación de cada día
El que en tu cama beba tus ganas, como el que bebe solo en fines de semana
Me encantaría estar de planta en tu vida
Ser tu eterno seductor sin despedida
[Verse 3]
Me encantaría ya no tener que aguantarme mis deseos
O andar sufriendo solo porque no te veo
Me encantaría fueras mía de una vez
[Verse 4]
Me encantaría ya no tener que esconderme para verte
Por ser tu amante desde ahora y para siempre
Sería capaz de lo que fuera, ya lo ves
[Chorus]
Me encantaría ser tu alegría, ser tu mayor motivación de cada día
El que en tu cama beba tus ganas, como el que bebe solo en fines de semana
Me encantaría estar de planta en tu vida
Ser tu eterno seductor sin despedida"
ML240;Palomo;No Me Conoces Aun;sad;"[Verse 1]
No me conoces aún
Porque lo nuestro fue tan pasional
Que no nos dimos la oportunidad
De decir cosas de amor de verdad
[Verse 2]
No me conoces aún
Las emociones que te hice sentir
Son solamente los días de abril
Nos quedan años de amor por vivir
[Chorus]
Ven a mi casa, abrázame, hazme el amor
Pero esta vez con una mirada
No te conozco, no me conoces a mí
Sorpresas hay por vivir
[Verse 3]
No me conoces aún
Porque dejamos correr el reloj
Entre caricias y haciendo el amor
Sin conocernos un poco mejor
[Verse 4]
No me conoces aún
Que nos amamos sin ganas de amar
Y nos besamos por tan solo besar
Vamos a darnos la oportunidad
[Chorus]
Ven a mi casa, abrázame, hazme el amor
Pero esta vez con una mirada
No te conozco, no me conoces a mí
Sorpresas hay por vivir
[Chorus]
Ven a mi casa, abrázame, hazme el amor
Pero esta vez con una mirada
No te conozco, no me conoces a mí
Sorpresas hay por vivir"
